name,number_votes,share_votes,district,affiliation
Ésik Attiláné,34,0.07 %,Vásárosnamény,ÖSSZEFOGÁS PÁRT
Boros Attila,25,0.05 %,Vásárosnamény,A HAZA PÁRTJA
Molnár Zoltán,12,0.02 %,Vásárosnamény,NP
Balogh Julianna,71,0.14 %,Vásárosnamény,MCP
Bihari Miklós,4229,8.46 %,Vásárosnamény,MSZP-PÁRBESZÉD
Lőrincz Zoltán,319,0.64 %,Vásárosnamény,Független jelölt
Jóczik Bálint,46,0.09 %,Vásárosnamény,EGYÜTT
Ésik Attila,74,0.15 %,Vásárosnamény,CSP
Lakatos Sándor,17,0.03 %,Vásárosnamény,EU.ROM
Hamza József,43,0.09 %,Vásárosnamény,JMP
Adorján Béla,13641,27.29 %,Vásárosnamény,JOBBIK
Tempfli József,461,0.92 %,Vásárosnamény,LMP
Váradi Antal,16,0.03 %,Vásárosnamény,IRÁNYTŰ
Varga Beatrix,22,0.04 %,Vásárosnamény,OP
Nagy István Béla,142,0.28 %,Vásárosnamény,MUNKÁSPÁRT
Somók Sándor,75,0.15 %,Vásárosnamény,DEMOKRATA PÁRT
Kiss Ferenc,45,0.09 %,Vásárosnamény,MIÉP
Balogh Tiborné,10,0.02 %,Vásárosnamény,TAMP
Frank Gabriella,39,0.08 %,Vásárosnamény,SZEM PÁRT
Hadiné Guti Ibolya,361,0.72 %,Vásárosnamény,Független jelölt
Pál Vilmos,41,0.08 %,Vásárosnamény,SEM
Demeter Jolán Zsuzsanna,7,0.01 %,Vásárosnamény,TENNI AKARÁS MOZGALOM
Piros László,42,0.08 %,Vásárosnamény,Független jelölt
Király Szilárd,50,0.1 %,Vásárosnamény,KÖSSZ
Virágh Tibor,0,0.0 %,Vásárosnamény,EMMO
Kóczé Krisztina,17,0.03 %,Vásárosnamény,MEDETE PÁRT
Dobosy Gábor Krisztián,20,0.04 %,Vásárosnamény,HAZA MINDENKIÉ
Babosi György,838,1.55 %,Nyíregyháza,MOMENTUM
Balogh Artúr,55,0.1 %,Nyíregyháza,MCP
Tóth Norbert,110,0.2 %,Nyíregyháza,MIÉP
Lövei Csaba,0,0.0 %,Nyíregyháza,EGYÜTT
Bálint József,18,0.03 %,Nyíregyháza,NP
Dr. Gődény György,353,0.65 %,Nyíregyháza,KÖZÖS NEVEZŐ
Molnár Szilárd László,35,0.06 %,Nyíregyháza,REND PÁRT
Lengyel Máté,10372,19.21 %,Nyíregyháza,JOBBIK
Csabai Lászlóné,17725,32.83 %,Nyíregyháza,MSZP-PÁRBESZÉD
Szepessy Zsolt László,57,0.11 %,Nyíregyháza,ÖSSZEFOGÁS PÁRT
Tornai Mihályné,82,0.15 %,Nyíregyháza,A HAZA PÁRTJA
Marosi Veronika Ágnes,30,0.06 %,Nyíregyháza,KÖSSZ
Dr. Szabó Tünde,21779,40.34 %,Nyíregyháza,FIDESZ-KDNP
Vajas Károly,670,1.24 %,Nyíregyháza,MKKP
Dr. Szoboszlay György Csaba,1792,3.32 %,Nyíregyháza,LMP
Dr. Bón Borbála,73,0.14 %,Nyíregyháza,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Fiatalos Árpád,182,0.41 %,Kaposvár,LENDÜLETTEL
Dr. László Imre,5700,12.79 %,Kaposvár,DK
Dr. Nadrai Norbert József,999,2.24 %,Kaposvár,Független jelölt
Bogdán Alexandra,0,0.0 %,Kaposvár,MISZEP
Miháldinecz Gábor,14206,31.89 %,Kaposvár,JOBBIK
Haraszti József,41,0.09 %,Kaposvár,MCP
Cseh Olivér,25,0.06 %,Kaposvár,HAJRÁ MAGYARORSZÁG!
Hegedűs Sándor,183,0.41 %,Kaposvár,CSP
Gelencsér Attila,19466,43.69 %,Kaposvár,FIDESZ-KDNP
Kerepesi Tibor,450,1.01 %,Kaposvár,EGYÜTT
Gelencsér Balázs,277,0.62 %,Kaposvár,Független jelölt
Dr. Busa József,2057,4.62 %,Kaposvár,LMP
Lakatos Jenő Róbert,54,0.12 %,Kaposvár,EU.ROM
Palásti János,47,0.11 %,Kaposvár,KÖSSZ
Nagy Nándor Lajos,94,0.21 %,Kaposvár,Független jelölt
Lóth Ferenc,26,0.06 %,Kaposvár,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Berg Dániel,743,1.67 %,Kaposvár,MOMENTUM
Dr. Helmeczy László,4909,10.5 %,Nyíregyháza,DK
Dr. Vinnai Győző,22395,47.89 %,Nyíregyháza,FIDESZ-KDNP
Szántó Gábor,493,1.05 %,Nyíregyháza,MOMENTUM
Dr. Fülöp Erik,16393,35.05 %,Nyíregyháza,JOBBIK
Cselószki Tamás,1303,2.79 %,Nyíregyháza,LMP
Treszkai Ildikó,34,0.07 %,Nyíregyháza,TENNI AKARÁS MOZGALOM
Balog Evelin,24,0.05 %,Nyíregyháza,EMMO
Varga Katalin Nikoletta,8,0.02 %,Nyíregyháza,ERP
Nagy József,24,0.05 %,Nyíregyháza,IMA
Kóka Gábor,43,0.09 %,Nyíregyháza,EU.ROM
Váradi György,40,0.09 %,Nyíregyháza,KÖSSZ
Farkas István,129,0.28 %,Nyíregyháza,MCP
Mészáros Ferenc,219,0.47 %,Nyíregyháza,Független jelölt
Nagy Tibor,451,0.96 %,Nyíregyháza,MIÉP
Rozsnyai Róbert,77,0.16 %,Nyíregyháza,SEM
Kalderál Cintia,28,0.06 %,Nyíregyháza,OCP
File Józsefné,23,0.05 %,Nyíregyháza,NP
Ördög Panna,24,0.05 %,Nyíregyháza,ÖSSZEFOGÁS PÁRT
Doka Jánosné,37,0.08 %,Nyíregyháza,REND PÁRT
Tolnai Tibor,47,0.1 %,Nyíregyháza,A HAZA PÁRTJA
Tóth Albert János,67,0.14 %,Nyíregyháza,KÖZÖS NEVEZŐ
Dr. Seszták Miklós,32374,61.87 %,Kisvárda,FIDESZ-KDNP
Novák Sándor,30,0.06 %,Kisvárda,IMA
Varga Mariann,66,0.13 %,Kisvárda,TENNI AKARÁS MOZGALOM
Kujbus Mihályné,46,0.09 %,Kisvárda,REND PÁRT
Tóth Péter Pál,181,0.35 %,Kisvárda,MUNKÁSPÁRT
Horváth József,180,0.34 %,Kisvárda,Független jelölt
Badzsó Beáta,80,0.15 %,Kisvárda,MCP
Vass Szilvia,39,0.07 %,Kisvárda,KÖSSZ
Leskó Péter,114,0.22 %,Kisvárda,KÖZÖS NEVEZŐ
Rakóczki Dénesné,2512,4.8 %,Kisvárda,DK
Dr. Gyüre Csaba,14513,27.74 %,Kisvárda,JOBBIK
Horváthné Szikszai Melinda,0,0.0 %,Kisvárda,EMMO
Szaniszló Ferenc,49,0.09 %,Kisvárda,MEDETE PÁRT
Kántor István,127,0.24 %,Kisvárda,CSP
Papp Lászlóné,19,0.04 %,Kisvárda,IRÁNYTŰ
Makranczi István,1239,2.37 %,Kisvárda,LMP
Matejka Rita,363,0.69 %,Kisvárda,MOMENTUM
Molnár Zoltánné,19,0.04 %,Kisvárda,NP
Varga Melinda,27,0.05 %,Kisvárda,EU.ROM
Fodor Dezső,33,0.06 %,Kisvárda,ÖSSZEFOGÁS PÁRT
Perdiák János,211,0.4 %,Kisvárda,MIÉP
Zsigu István,77,0.15 %,Kisvárda,MISZEP
Spekker József,15,0.03 %,Kisvárda,EU ALTERNATÍVA
Buzási Krisztián,11,0.02 %,Kisvárda,ERP
Fábián László,0,0.0 %,Marcali,MOMENTUM
Tóth Gábor,357,0.85 %,Marcali,Független jelölt
Dr. Szilágyi Zsolt,78,0.18 %,Marcali,ÖSSZEFOGÁS PÁRT
Kolesznyikov Oleg,38,0.09 %,Marcali,HAJRÁ MAGYARORSZÁG!
Dr. Mészáros Géza József,3029,7.17 %,Marcali,MSZP-PÁRBESZÉD
Bodai Istvánné,26,0.06 %,Marcali,EU.ROM
Dr. Steinmetz Ádám,15695,37.18 %,Marcali,JOBBIK
Filák Péter,835,1.98 %,Marcali,LMP
Buzás Benedek Géza,90,0.21 %,Marcali,SZEM PÁRT
Horváth András,87,0.21 %,Marcali,SEM
Móring József Attila,21892,51.85 %,Marcali,FIDESZ-KDNP
Szabó Lászlóné,92,0.22 %,Marcali,MCP
Babai József,29,0.07 %,Barcs,ECDP
Szászfalvi László,20217,51.63 %,Barcs,FIDESZ-KDNP
Remes Gábor,2340,5.98 %,Barcs,DK
Orsós Györgyné,27,0.07 %,Barcs,IRÁNYTŰ
Kun László Sándor,80,0.2 %,Barcs,CSP
Böcsödi Barbara,46,0.12 %,Barcs,ÉRTÜNK ÉRTETEK
Ander Balázs,14951,38.18 %,Barcs,JOBBIK
Horváth Péter,99,0.25 %,Barcs,NEMZET ÉS BÉKE
Tóth Balázs Tamás,42,0.11 %,Barcs,HAJRÁ MAGYARORSZÁG!
Gulyás József,179,0.46 %,Barcs,MUNKÁSPÁRT
Scsavnicsár Szabolcs,44,0.11 %,Barcs,MCP
Horváth Balázs,36,0.09 %,Barcs,ÖSSZEFOGÁS PÁRT
Sipos Zoltán,787,2.01 %,Barcs,LMP
Martin Ferenc,73,0.19 %,Barcs,OPRE ROMA
Bali Istvánné,31,0.08 %,Barcs,KÖSSZ
Benkőné Slezák Judit,14,0.04 %,Barcs,REND PÁRT
Orsós Margit,25,0.06 %,Barcs,EU.ROM
Gyertyás Lászlóné,96,0.25 %,Barcs,EGYÜTT
Kovács Olivér,40,0.1 %,Barcs,SZEM PÁRT
Csehi Norbert,67,0.15 %,Siófok,KÖSSZ
Dr. Szilágyiné Bátyi Katalin,27,0.06 %,Siófok,ÖSSZEFOGÁS PÁRT
Gulyás Gábor,44,0.1 %,Siófok,LENDÜLETTEL
Jámbor Péter,325,0.72 %,Siófok,Független jelölt
Potocskáné Kőrösi Anita,8635,19.25 %,Siófok,JOBBIK
Gál Ferenc,918,2.05 %,Siófok,LMP
Dr. Magyar György,11221,25.02 %,Siófok,MSZP-PÁRBESZÉD
Nagy Dávid,478,1.07 %,Siófok,MOMENTUM
Szappanos Zsuzsanna,34,0.08 %,Siófok,OP
Madarász György,58,0.13 %,Siófok,MCP
Antal László,19,0.04 %,Siófok,NP
Bartos-Bogdán Anita,52,0.12 %,Siófok,KÖZÖS NEVEZŐ
Kiss Péter,48,0.11 %,Siófok,HAJRÁ MAGYARORSZÁG!
Witzmann Mihály,22920,51.11 %,Siófok,FIDESZ-KDNP
Kis Viktor,588,1.22 %,Cegléd,MKKP
Antal Péter,28,0.06 %,Cegléd,EMMO
Rácz Lajos,37,0.08 %,Cegléd,REND PÁRT
Wajand Krisztina Katalin,0,0.0 %,Cegléd,KÖSSZ
Szellő István,42,0.09 %,Cegléd,ÉRTÜNK ÉRTETEK
Földi László,24826,51.64 %,Cegléd,FIDESZ-KDNP
Mucsinyi Levente,638,1.33 %,Cegléd,MOMENTUM
Dr. Szüdi János,3372,7.01 %,Cegléd,DK
Kohl Antal Sándor,158,0.33 %,Cegléd,MUNKÁSPÁRT
Volner János,16145,33.58 %,Cegléd,JOBBIK
Bicskei Kálmán Vendel,29,0.06 %,Cegléd,MCP
Rácz Aliz,13,0.03 %,Cegléd,HHP
Földi Áron,1961,4.08 %,Cegléd,LMP
Kiss Erzsébet,53,0.11 %,Cegléd,SZP
Fekete-Szabó Zsolt,157,0.33 %,Cegléd,CSP
Bán Zsolt,29,0.06 %,Cegléd,ÖSSZEFOGÁS PÁRT
Rakita Andrea Éva,236,0.48 %,Monor,SEM
Galyas Zoltán,62,0.13 %,Monor,HHP
Janzsó Miklós Csaba,795,1.61 %,Monor,MOMENTUM
Pogácsás Tibor,25989,52.61 %,Monor,FIDESZ-KDNP
Lendvay Endre,12944,26.21 %,Monor,JOBBIK
Seres Attila,54,0.11 %,Monor,EU.ROM
Szabó Attila,123,0.25 %,Monor,MIÉP
Lutter Ferenc,1666,3.37 %,Monor,LMP
Papp Roland,287,0.58 %,Monor,EGYÜTT
Torzsa Sándor,7065,14.3 %,Monor,MSZP-PÁRBESZÉD
Lakos Menyhért,174,0.35 %,Monor,MUNKÁSPÁRT
Varga Imre,325,0.52 %,Szigetszentmiklós,MUNKÁSPÁRT
Fülöp Noémi Enikő,228,0.36 %,Szigetszentmiklós,MIÉP
Lukács Gergely Márk,108,0.17 %,Szigetszentmiklós,NEMZET ÉS BÉKE
Lupa János,12758,20.36 %,Szigetszentmiklós,JOBBIK
Szilvási Zsolt,348,0.56 %,Szigetszentmiklós,SEM
Hevényiné Danics Nikoletta,3016,4.81 %,Szigetszentmiklós,LMP
Lakatos Bálint,61,0.1 %,Szigetszentmiklós,HAJRÁ MAGYARORSZÁG!
Bóna Zoltán,25272,40.33 %,Szigetszentmiklós,FIDESZ-KDNP
Szegedi Péter,0,0.0 %,Szigetszentmiklós,IRÁNYTŰ
Ketskeméty-Rády Magdolna,0,0.0 %,Szigetszentmiklós,EGYÜTT
Tótok József,1355,2.16 %,Szigetszentmiklós,MOMENTUM
Stefanik Zsolt,19188,30.62 %,Szigetszentmiklós,MSZP-PÁRBESZÉD
Virányi András,0,0.0 %,Dabas,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Terkán Barabás Károly,28,0.05 %,Dabas,JÓ ÚT MPP
Magyar Péter,17231,29.47 %,Dabas,JOBBIK
Török László,3300,5.64 %,Dabas,LMP
Jónás Sándor,66,0.11 %,Dabas,EP
Pánczél Károly,29780,50.94 %,Dabas,FIDESZ-KDNP
Kücsön Sándor,7157,12.24 %,Dabas,MSZP-PÁRBESZÉD
Jakab Mihály,47,0.08 %,Dabas,EU.ROM
Károlyi György Mihály,153,0.26 %,Dabas,MIÉP
Szabó József,107,0.18 %,Dabas,KÖZÖS NEVEZŐ
Szilvási István,34,0.06 %,Dabas,MCP
Gieszer Zsolt,26,0.04 %,Dabas,NEMZET ÉS BÉKE
Kovács Zsuzsanna,95,0.16 %,Dabas,TENNI AKARÁS MOZGALOM
Gyulai Szabolcs,30,0.05 %,Dabas,HHP
Horváth Józsefné,21,0.04 %,Dabas,JMP
Szabó Ágnes,74,0.13 %,Dabas,REND PÁRT
Galgóczi Péter,0,0.0 %,Dabas,MOMENTUM
Katona Róbertné,0,0.0 %,Dabas,HAM
Bakos Bence,46,0.08 %,Dabas,NP
Galyas István Krisztián,88,0.15 %,Dabas,KÖSSZ
Kovács Gyula,122,0.21 %,Dabas,DEMOKRATA PÁRT
Csukodi Béla Ernő,59,0.1 %,Dabas,SZP
Mérő Péter Ferenc,163,0.34 %,Nagykáta,EGYÜTT
Rácz Lajos,23,0.05 %,Nagykáta,REND PÁRT
Bódi Mária Réka,53,0.11 %,Nagykáta,KÖZÖS NEVEZŐ
Nana Zsuzsánna Franciska,16,0.03 %,Nagykáta,HHP
Bozsik József,16017,33.46 %,Nagykáta,JOBBIK
Látos Richárd,19,0.04 %,Nagykáta,ÖSSZEFOGÁS PÁRT
Majoros Tibor,2144,4.48 %,Nagykáta,Független jelölt
Szalay Sándor,1409,2.94 %,Nagykáta,LMP
Fraternali Krisztina,12,0.03 %,Nagykáta,NEMZET ÉS BÉKE
Bari Ignác,26,0.05 %,Nagykáta,MCP
Török Zsolt,3426,7.16 %,Nagykáta,MSZP-PÁRBESZÉD
Dr. Nagyné Fehér Erzsébet,127,0.27 %,Nagykáta,SEM
Hernyák Balázs Gábor,95,0.2 %,Nagykáta,MIÉP
Pusoma Andrea,29,0.06 %,Nagykáta,MISZEP
Horváth János,25,0.05 %,Nagykáta,EU.ROM
Fricz Szabolcs,33,0.07 %,Nagykáta,IRÁNYTŰ
Czerván György,24051,50.25 %,Nagykáta,FIDESZ-KDNP
Bene Károly,29,0.06 %,Nagykáta,NP
Kovács Istvánné,166,0.35 %,Nagykáta,MUNKÁSPÁRT
Tuzson Bence,30537,43.27 %,Dunakeszi,FIDESZ-KDNP
Dr. Kiss Csaba,0,0.0 %,Dunakeszi,LMP
Rónai Sándor,25576,36.24 %,Dunakeszi,DK
Dr. Vargha Nóra,0,0.0 %,Dunakeszi,EGYÜTT
Varga Zoltán Péter,10902,15.45 %,Dunakeszi,JOBBIK
Hannl János,212,0.3 %,Dunakeszi,A HAZA PÁRTJA
Kohut Ákos,2502,3.55 %,Dunakeszi,MOMENTUM
Czoma Krisztina,100,0.14 %,Dunakeszi,OP
Sebeők Sarolta,610,0.86 %,Dunakeszi,SEM
Fazekas Attila,135,0.19 %,Dunakeszi,IRÁNYTŰ
Hébel Ildikó,112,0.21 %,Vác,ÖSSZEFOGÁS PÁRT
Fehér Zsolt,12824,23.92 %,Vác,JOBBIK
Matkovich Ilona,10131,18.9 %,Vác,LMP
Krauze István,0,0.0 %,Vác,DK
Simon József Ferenc,366,0.68 %,Vác,MUNKÁSPÁRT
Apáthy István,35,0.07 %,Vác,ÉRTÜNK ÉRTETEK
Dr. Jakab Zoltán,974,1.82 %,Vác,EGYÜTT
Rétvári Bence,27559,51.41 %,Vác,FIDESZ-KDNP
Rédai Roland,388,0.72 %,Vác,Független jelölt
Horchy Mihály,174,0.32 %,Vác,MIÉP
Juhász Béla Róbert,930,1.73 %,Vác,MOMENTUM
Maróti Lívia,115,0.21 %,Vác,KÖZÖS NEVEZŐ
Németh Ágnes Katalin,0,0.0 %,Vác,HAZA MINDENKIÉ
Rácz Zsolt,54,0.08 %,Gödöllő,EU.ROM
Vámos Péterné,25,0.04 %,Gödöllő,REND PÁRT
Bősze Gábor,1109,1.72 %,Gödöllő,MKKP
Molnár László,848,1.32 %,Gödöllő,MOMENTUM
Kis Imre,233,0.36 %,Gödöllő,EGYÜTT
László Attila,44,0.07 %,Gödöllő,HAJRÁ MAGYARORSZÁG!
Mogyorósiné Kőhegyi Mária,46,0.07 %,Gödöllő,KÖZÖS NEVEZŐ
Kiszel Józsefné,101,0.16 %,Gödöllő,A HAZA PÁRTJA
Gáspár György,58,0.09 %,Gödöllő,MISZEP
Papp János,65,0.1 %,Gödöllő,KÖSSZ
Bogdányi Norbert László,20,0.03 %,Gödöllő,NP
Kanalas András,36,0.06 %,Gödöllő,JÓ ÚT MPP
Bertha Szilvia,261,0.41 %,Gödöllő,ÉRTÜNK ÉRTETEK
Lázók Attila,58,0.09 %,Gödöllő,SZP
Vig János,12343,19.16 %,Gödöllő,JOBBIK
Makrai Zoltán,4776,7.41 %,Gödöllő,MSZP-PÁRBESZÉD
Vécsey László József,29588,45.92 %,Gödöllő,FIDESZ-KDNP
Lengyel Szilvia,14763,22.91 %,Gödöllő,LMP
Sztakóné Zentai Mónika,85,0.14 %,Vecsés,KÖSSZ
Tóth Judit,705,1.15 %,Vecsés,EGYÜTT
Barcsik Annamária,89,0.15 %,Vecsés,ÖSSZEFOGÁS PÁRT
Tolnai Zoltán,23,0.04 %,Vecsés,LENDÜLETTEL
Elek Roland László,18,0.03 %,Vecsés,EMMO
Dr. Szűcs Lajos,27485,44.82 %,Vecsés,FIDESZ-KDNP
Nyeste Andrea,8744,14.26 %,Vecsés,DK
Sas Zoltán,18114,29.54 %,Vecsés,JOBBIK
Bódiné Sikari Mária,216,0.35 %,Vecsés,MINŐKP
Lukácsi Zoltán,134,0.22 %,Vecsés,MIÉP
Tamás Levente,177,0.29 %,Vecsés,SEM
Kovács István,206,0.34 %,Vecsés,MUNKÁSPÁRT
Apostol Klaudia,3538,5.77 %,Vecsés,LMP
Magyar András,76,0.12 %,Vecsés,A HAZA PÁRTJA
Kalasovszky Bernadett,1350,2.2 %,Vecsés,MOMENTUM
Bagó Anita,361,0.59 %,Vecsés,CSP
Vágó Sebestyén,8014,12.99 %,Érd,JOBBIK
Weith Katalin,123,0.2 %,Érd,KÖSSZ
Turcsán Szabolcs,2264,3.67 %,Érd,LMP
Kozák István Krisztián,70,0.11 %,Érd,TENNI AKARÁS MOZGALOM
Marton Janka,29,0.05 %,Érd,AQP
Szécsi Barbara,1146,1.86 %,Érd,MKKP
Aradszki András,26987,43.74 %,Érd,FIDESZ-KDNP
Dr. Csőzik László,21888,35.47 %,Érd,MSZP-PÁRBESZÉD
Gál Alex,1035,1.68 %,Érd,MOMENTUM
Szunai Gábor Miklós,146,0.24 %,Érd,MIÉP
Szabó Zoltán,53,0.08 %,Szentendre,IRÁNYTŰ
Spät Judit,2044,3.07 %,Szentendre,EGYÜTT
Kövesdi Miklós Gábor,1827,2.74 %,Szentendre,MKKP
Hadházy Sándor,30711,46.11 %,Szentendre,FIDESZ-KDNP
Pál Gábor,11624,17.45 %,Szentendre,JOBBIK
Pálmai Ferenc,225,0.34 %,Szentendre,MUNKÁSPÁRT
Vásárhelyi Judit,1469,2.21 %,Szentendre,MOMENTUM
Drávucz Zsolt,4706,7.07 %,Szentendre,LMP
Holek Katalin,82,0.12 %,Szentendre,ÖSSZEFOGÁS PÁRT
Király Miklós,12852,19.3 %,Szentendre,DK
Bossányi Lajos Istvánné,39,0.06 %,Szentendre,MEDETE PÁRT
Dima Beáta,46,0.07 %,Szentendre,REND PÁRT
Waszlavik Miklós,133,0.2 %,Szentendre,KÖSSZ
Abonyi Géza,580,0.87 %,Szentendre,Független jelölt
Balogh Géza Péter,212,0.32 %,Szentendre,MIÉP
Csenger-Zalán Zsolt,30990,44.14 %,Budakeszi,FIDESZ-KDNP
Császárné Kollár Tímea Annamária,5923,8.44 %,Budakeszi,JOBBIK
Anyalai Béla,121,0.17 %,Budakeszi,MCP
Kósa Sándor,602,0.86 %,Budakeszi,DEMOKRATA PÁRT
Szemző Áron,0,0.0 %,Budakeszi,MOMENTUM
Betlehem Csaba,1544,2.2 %,Budakeszi,MKKP
Gelencsér András,337,0.48 %,Budakeszi,MUNKÁSPÁRT
Dr. Szél Bernadett,30694,43.72 %,Budakeszi,LMP
Fülöp Péter Ferenc,82,0.15 %,Tatabánya,SZP
Fekete Miklós,15192,26.86 %,Tatabánya,MSZP-PÁRBESZÉD
Szalay László Gábor,141,0.25 %,Tatabánya,MIÉP
Bencsik János,25128,44.43 %,Tatabánya,FIDESZ-KDNP
Dr. Jakics Mónika Zsuzsanna,449,0.79 %,Tatabánya,Független jelölt
Estók Endre,88,0.16 %,Tatabánya,IRÁNYTŰ
Barna Alexandra,985,1.74 %,Tatabánya,MKKP
Novák László,785,1.39 %,Tatabánya,MOMENTUM
Boda Bánk László,11071,19.58 %,Tatabánya,JOBBIK
Szücs István,159,0.28 %,Tatabánya,MUNKÁSPÁRT
Körtvélyfáy Menyhért,2440,4.31 %,Tatabánya,LMP
Czinege Balázs,31,0.05 %,Tatabánya,NEMZET ÉS BÉKE
Csukáné Szerémy Andrea,6776,12.36 %,Balassagyarmat,MSZP-PÁRBESZÉD
Susa Vendel József,74,0.13 %,Balassagyarmat,KÖSSZ
Pekár Csanád,64,0.12 %,Balassagyarmat,REND PÁRT
Jónásné Molnár Marianna,27,0.05 %,Balassagyarmat,EU.ROM
Rácz Attila,94,0.17 %,Balassagyarmat,MCP
Ráczné Baranyi Georgina,122,0.22 %,Balassagyarmat,Független jelölt
Mazgon Jelena,55,0.1 %,Balassagyarmat,KÖZÖS NEVEZŐ
László Magdolna,114,0.21 %,Balassagyarmat,SEM
Gyenes Szilárd,2095,3.82 %,Balassagyarmat,LMP
Dobrocsi Lénárd,15062,27.47 %,Balassagyarmat,JOBBIK
Dr. Frankfurter Zsuzsanna,543,0.99 %,Balassagyarmat,MUNKÁSPÁRT
Gazsi Richárd Boldizsár,18,0.03 %,Balassagyarmat,TAMP
Földiné Botos Marianna,36,0.07 %,Balassagyarmat,TENNI AKARÁS MOZGALOM
Balla Mihály,29754,54.26 %,Balassagyarmat,FIDESZ-KDNP
Bereczné Adorján Alexandra,8,0.02 %,Salgótarján,ÉRTÜNK ÉRTETEK
Tóthné Katona Anetta,33,0.06 %,Salgótarján,REND PÁRT
Farkas Csaba,61,0.12 %,Salgótarján,SZP
Czekó Erzsébet,27,0.05 %,Salgótarján,ÖSSZEFOGÁS PÁRT
Gazsi Csaba,42,0.08 %,Salgótarján,Független jelölt
Illés István,35,0.07 %,Salgótarján,EMMO
Betes Mona,445,0.86 %,Salgótarján,MKKP
Drapcsik Tamás,42,0.08 %,Salgótarján,MIÉP
Kovács Zsolt,4636,8.92 %,Salgótarján,DK
Kubinyi Péter,77,0.15 %,Salgótarján,TAMP
Fényes Józsefné,3,0.01 %,Salgótarján,ERP
Veres Attiláné,41,0.08 %,Salgótarján,OPRE ROMA
Nagy Péter,20,0.04 %,Salgótarján,MEDETE PÁRT
Danyi Flórián,40,0.08 %,Salgótarján,EU.ROM
Tóth Csaba,320,0.62 %,Salgótarján,MOMENTUM
Cseresznyés István,11553,22.22 %,Salgótarján,JOBBIK
Hegedűsné Széll Krisztina,48,0.09 %,Salgótarján,KÖZÖS NEVEZŐ
Dömsödi Gábor,8478,16.31 %,Salgótarján,LMP
Nógrádi Nóra,221,0.43 %,Salgótarján,EGYÜTT
Dr. Turza Csaba,383,0.74 %,Salgótarján,Független jelölt
Klajbán Róbert János,118,0.23 %,Salgótarján,MCP
Molnár Dávid Márk,67,0.13 %,Salgótarján,CSP
Bercsényi Zoltán,35,0.07 %,Salgótarján,CIVIL MOZGALOM
Nagy Attila Tibor,421,0.81 %,Salgótarján,MUNKÁSPÁRT
Sárközi Lajos,74,0.14 %,Salgótarján,MAGYAR DEMOKRATIKUS UNIÓ
Radics Gyuláné,40,0.08 %,Salgótarján,Független jelölt
Záhonyi József,53,0.1 %,Salgótarján,NEMZETI ZÖLDEK
Puporka Lajos,14,0.03 %,Salgótarján,TENNI AKARÁS MOZGALOM
Ladik Szabolcs Viktor,10,0.02 %,Salgótarján,HAZA MINDENKIÉ
Dr. Becsó Károly,24611,47.34 %,Salgótarján,FIDESZ-KDNP
Buri Brigitta,19,0.04 %,Salgótarján,EP
Pozsgai Dávid,16,0.03 %,Salgótarján,HHP
Pogány István,82,0.14 %,Esztergom,ÖSSZEFOGÁS PÁRT
Szabó Ottó Ferenc,134,0.23 %,Esztergom,MIÉP
Dr. Völner Pál,26137,45.21 %,Esztergom,FIDESZ-KDNP
Papp László,958,1.66 %,Esztergom,MKKP
Nagy István,270,0.47 %,Esztergom,MUNKÁSPÁRT
Cserép János,861,1.49 %,Esztergom,Független jelölt
Dr. Munkácsy Béla Attila,2657,4.6 %,Esztergom,LMP
Ambrus Bernadett Annamária,54,0.09 %,Esztergom,LENDÜLETTEL
Krisztián Roland Ferenc,240,0.42 %,Esztergom,CSP
Horváth Zoltán Péter,24,0.04 %,Esztergom,IRÁNYTŰ
Hammerszky Sándor,88,0.15 %,Esztergom,SEM
Nunkovics Tibor,19834,34.31 %,Esztergom,JOBBIK
Dr. Vadai Ágnes,6474,11.2 %,Esztergom,DK
Talabér Gábor,2827,4.93 %,Komárom,LMP
Sólyom Jöran,7127,12.43 %,Komárom,MSZP-PÁRBESZÉD
Kis Roland Péter,149,0.26 %,Komárom,SZEM PÁRT
Schiller Roland,62,0.11 %,Komárom,IRÁNYTŰ
Tóth Endre,15258,26.61 %,Komárom,JOBBIK
Géringer Gyula,130,0.23 %,Komárom,NEEM
Torma Lajos,217,0.38 %,Komárom,LENDÜLETTEL
Lakatos Béla,1363,2.38 %,Komárom,MOMENTUM
Czunyiné Dr. Bertalan Judit,29241,50.99 %,Komárom,FIDESZ-KDNP
Velki Dávid,974,1.7 %,Komárom,MKKP
Kádár Miklós István,24,0.05 %,Törökszentmiklós,NP
Dani Ferenc,42,0.09 %,Törökszentmiklós,MCP
Lakatos Edit,81,0.17 %,Törökszentmiklós,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Matisz Károly,350,0.72 %,Törökszentmiklós,MOMENTUM
Kiss Éva,55,0.11 %,Törökszentmiklós,A HAZA PÁRTJA
Boldog István,21668,44.71 %,Törökszentmiklós,FIDESZ-KDNP
Kántor Attila,34,0.07 %,Törökszentmiklós,MEDETE PÁRT
Kiss Antal László,0,0.0 %,Törökszentmiklós,HAM
Szilágyi András,270,0.56 %,Törökszentmiklós,MUNKÁSPÁRT
